0,16.04,40.712832,-3.765026
1,15.29,40.712790,-3.765017
2,16.89,40.712856,-3.765058
3,18.75,40.712811,-3.764995
4,14.31,40.712847,-3.764948
5,14.07,40.712785,-3.765053
6,14.39,40.712786,-3.764974
7,16.62,40.712766,-3.764996
8,16.74,40.712740,-3.765008
9,14.76,40.712812,-3.765050
10,16.21,40.712827,-3.764961
11,13.93,40.712767,-3.765024
12,14.89,40.712801,-3.764945
13,16.82,40.712732,-3.765045
14,14.88,40.712755,-3.765054
15,16.16,40.712733,-3.764980
16,15.40,40.712738,-3.764944
17,14.97,40.712758,-3.764964
18,16.32,40.712770,-3.764939
19,20.77,40.712858,-3.764986
